,precision,recall,f1-score,support
angry,0.5384615384615384,0.6064718162839249,0.570446735395189,958.0
disgusted,0.6285714285714286,0.1981981981981982,0.3013698630136986,111.0
fearful,0.5945945945945946,0.2578125,0.35967302452316074,1024.0
happy,0.8608597285067874,0.8579481397970687,0.8594014680971203,1774.0
sad,0.5301698886936145,0.7339821573398215,0.6156462585034014,1233.0
surprised,0.5191524042379788,0.5108259823576584,0.5149555375909458,1247.0
neutral,0.7222222222222222,0.7978339350180506,0.758147512864494,831.0
accuracy,0.6400111451657844,0.6400111451657844,0.6400111451657844,0.6400111451657844
macro avg,0.6277188293268806,0.5661532469992461,0.5685200571411443,7178.0
weighted avg,0.6440368895464114,0.6400111451657844,0.6274847289105764,7178.0
